Variable,Coefficient,p-value,Significatif à 5%
Intercept,44.63135649316453,0.6600059049007325,False
C(source_site)[T.electroplanet],1.3656416990483314e-11,0.6589470619446111,False
C(source_site)[T.jumia_ma],44.631356493164105,0.6600059049007323,False
rating,57.81205620579004,0.19007175887968497,False
reviews,-1.247933682581702,0.3643816303675357,False
old_price_mad,0.670754029087457,7.725214509692524e-40,True
