Variable,Coefficient,p-value,IC bas,IC haut
Intercept,44.63135649316453,0.6600059049007325,-158.0953169334882,247.35802991981726
C(source_site)[T.electroplanet],1.3656416990483314e-11,0.6589470619446111,-4.816846899001013e-11,7.548130297097676e-11
C(source_site)[T.jumia_ma],44.631356493164105,0.6600059049007323,-158.09531693348654,247.35802991981475
rating,57.81205620579004,0.19007175887968497,-29.639496953028868,145.26360936460895
reviews,-1.247933682581702,0.3643816303675357,-3.9879488820887756,1.4920815169253716
old_price_mad,0.670754029087457,7.725214509692524e-40,0.6391620955490701,0.7023459626258438
