metric,count,mean,std,min,25%,50%,75%,max
discount_amount,162.0,874.6728395061729,1073.7860042785217,39.0,250.75,440.0,1100.0,5899.0
discount_pct,162.0,17.28374602570792,12.188905915502112,1.1821764170960898,9.658822937938861,16.672707502718374,22.140321450416074,80.40201005025126
